name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu8609	9	1757	7.53845604842963e-05	0.00210570706470321	NA	M3	-1.39172205532142	0	Peripheral nodes
otu8612	63	2275	8.00691767452576e-05	0.000117193811346009	NA	M1	-0.753866688463162	0	Peripheral nodes
otu8613	9	2373.04	7.67979259196877e-05	0.000141748374391369	NA	M3	-1.44596847584066	0.493827160493827	Peripheral nodes
otu8614	152	1922	9.52402514116999e-05	0.234603092791678	0.104574253497598	M1	-0.344148248381843	0.265927977839335	Peripheral nodes
otu8615	24	6600	9.12460176480982e-05	0.0116508040331794	NA	M1	-1.0249111949785	0.295138888888889	Peripheral nodes
otu8617	6	2392	7.62715895780823e-05	0.000145802132391121	NA	M3	-1.45681775994451	0.611111111111111	Peripheral nodes
otu8620	446	746.96533035497	9.82520860687509e-05	0.893485311541047	NA	M1	1.16865829961072	0.288604234953448	Peripheral nodes
otu8622	18	2076	7.8862940581611e-05	0.000406560282490019	NA	M3	-1.30492778249064	0.104938271604938	Peripheral nodes
otu8626	32	5651	8.76797875774463e-05	0.0249276662260992	0.0144984766262045	M1	-0.993394391895317	0.361328125	Peripheral nodes
otu8627	2	0	5.0212375415239e-05	3.71149776297417e-15	NA	M2	-0.986528052138509	0	Peripheral nodes
otu8632	13	1461	8.48454785893266e-05	0.00166422543361443	NA	M4	-0.390466609254607	0.63905325443787	Connectors
otu8636	20	18655.9	7.62851014354532e-05	7.90266157141634e-07	NA	M1	-1.05642799806167	0.375	Peripheral nodes
otu8638	29	2876.09090909091	5.46873799091328e-05	1.38107882835433e-12	NA	M2	-0.378877595416077	0	Peripheral nodes
otu8642	1	0	5.41255466398105e-05	3.0470871651156e-10	NA	M4	-0.870510852397036	0	Peripheral nodes
otu8646	55	1576.39882147085	8.79257679992137e-05	0.031477640669873	NA	M3	-1.207284225556	0.498512396694215	Peripheral nodes
otu8647	5	452	6.55654877357794e-05	1.56529808757416e-06	NA	M3	-1.43511919173681	0	Peripheral nodes
otu8648	13	4076.625	7.6067761234008e-05	8.64090964922575e-05	NA	M3	-1.34832491890603	0	Peripheral nodes
otu8649	24	6049.70847365487	8.01335648148782e-05	0.00627292259405181	NA	M3	-1.2289827937637	0	Peripheral nodes
otu8650	37	773	8.04135226907781e-05	0.00780675571668063	NA	M3	-1.09879138451752	0.0525931336742148	Peripheral nodes
otu8652	8	7355	5.91950294441865e-05	2.37949103719669e-11	NA	M2	-0.851494617311302	0	Peripheral nodes
otu8653	4	0	6.86521026980758e-05	3.78980728683932e-06	NA	M3	-1.46766704404836	0.5	Peripheral nodes
otu8654	23	2236.4148313484	8.42389637959689e-05	0.0049667487329351	NA	M3	-1.32662635069833	0.480151228733459	Peripheral nodes
otu8655	70	676.274920156548	6.9226671798517e-05	6.78511751925415e-08	NA	M2	0.54385087590317	0	Peripheral nodes
otu8656	276	798.729325555551	8.77103334370819e-05	0.105873936935734	NA	M3	1.42909181167912	0.049438143247217	Peripheral nodes
otu8657	2	2253	5.7609366986276e-05	9.27233278877394e-09	NA	M18	-1.22474487139159	0.5	Peripheral nodes
otu8658	3	10334	5.04574631741091e-05	1.54291712415003e-15	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8661	32	62.4166666666666	5.66369626766791e-05	2.1690788523636e-11	NA	M2	-0.311360878002474	0	Peripheral nodes
otu8665	5	5153	6.76757593090891e-05	3.61146845119058e-06	NA	M3	-1.44596847584066	0.32	Peripheral nodes
otu8666	7	357.666666666667	5.32902694298349e-05	7.39269719093218e-13	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8669	8	2223	7.72147511558238e-05	0.000170611579015684	NA	M4	-0.390466609254607	0.625	Connectors
otu8670	2	0	5.5044638237394e-05	8.77246869151047e-14	NA	M2	-0.986528052138509	0	Peripheral nodes
otu8672	7	238.666666666667	5.71437609122359e-05	1.83281773435621e-11	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8673	43	2465.84189665296	7.33344910972746e-05	0.00121868900225835	NA	M3	-1.02284639579058	0	Peripheral nodes
otu8674	19	3903	7.76331176548403e-05	0.000215884131694332	NA	M1	-1.05642799806167	0.3601108033241	Peripheral nodes
otu8676	167	1503.12057708375	9.60146009030175e-05	0.185083365470102	NA	M1	-0.50803562441437	0.475456273082577	Peripheral nodes
otu8677	4	2440	5.78958643039898e-05	4.67264437148881e-13	NA	M2	-0.941516907196106	0	Peripheral nodes
otu8681	70	676.274920156548	6.9226671798517e-05	6.78511751770931e-08	NA	M2	0.54385087590317	0	Peripheral nodes
otu8685	168	933.750000000002	7.34262423242593e-05	0.0268819457697107	NA	M3	0.333314117190449	0	Peripheral nodes
otu8686	43	2572.62849656076	8.77794519048539e-05	0.00755734236993497	NA	M3	-1.16388708914061	0.421849648458626	Peripheral nodes
otu8687	59	14420.3079365079	9.48430187679609e-05	0.0553234341398394	NA	M1	-0.797990212779611	0.096523987359954	Peripheral nodes
otu8688	85	4760.5	9.25858595775247e-05	0.072903275213621	0.202061284006286	M1	-0.78538349154634	0.453425605536332	Peripheral nodes
otu8689	7	357.666666666667	5.32902694298349e-05	7.39269719093218e-13	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8691	3	122	6.11141986409622e-05	3.11820360373341e-06	NA	M3	-1.45681775994451	0	Peripheral nodes
